id,user_id,datetime,day_of_week,game_type,category,is_resolved,selected_answer,correct_answer,wrong_type,student_profile,question_id,reaction_time,repeat_count
1,1,2025-07-24 19:39:55.742,Perşembe,ilk harfi yakalama,letter,0,Saat,Sebze,letter,ortaokul,15,30.058,3
2,1,2025-07-24 05:23:46.299,Perşembe,nesne yönü tanıma,direction,0,Ayı - Araba,Top - Tavşan,direction,ilkokul,3,7.357,4
3,1,2025-07-23 14:35:20.403,Çarşamba,yön takibi,direction,0,8 adım,7 adım,direction,ilkokul,1,6.681,2
4,1,2025-07-23 04:27:07.977,Çarşamba,ilk harfi yakalama,letter,0,Cüzdan,Çanta,letter,ilkokul,2,39.937,4
5,1,2025-07-21 19:26:20.424,Pazartesi,boşluklara doğru harfi koy,letter,0,"Yaptığı hatanın farkına faran kişi, bunu tüzeltmek için hemen harekete geçti.","Yaptığı hatanın farkına varan kişi, bunu düzeltmek için hemen harekete geçti.",letter,ortaokul,97,10.792,4
6,1,2025-07-22 01:20:57.302,Salı,anlam bağdaştırma,meaning,0,Taze çileklerin üzerinde tahta kasenin içinde su damlaları vardı.,Tahta kasenin içindeki taze çileklerin üzerinde su damlaları vardı.,meaning,ortaokul,16,25.305,4
7,1,2025-07-21 09:20:54.234,Pazartesi,kelime seslerinde uyum,word,0,Karını,Karnı,word,ortaokul,17,5.671,3
8,1,2025-07-20 12:37:01.783,Pazar,anlam seçme,meaning,0,Kişinin hasta olduğunu,Kişinin çok iyi hissettiğini,meaning,ortaokul,97,9.08,3
9,1,2025-07-19 17:05:31.502,Cumartesi,anlam bağdaştırma,meaning,0,Beyaz fincanın köpüğünde bir kalp deseni kahvenin üzerinde vardı.,Beyaz fincanın içindeki kahvenin köpüğünde bir kalp deseni vardı.,meaning,ortaokul,17,8.508,4
10,1,2025-07-19 17:39:23.789,Cumartesi,akıl yürütme,word,0,Her şeye hemen inanır,"Bilgiyi sorgular, analiz eder ve değerlendirir",word,ortaokul,98,22.517,2
11,1,2025-07-19 03:17:28.606,Cumartesi,kelime seslerinde uyum,word,0,durun,Ağaçdan,word,ortaokul,16,30.285,1
12,1,2025-07-18 09:00:09.778,Cuma,boşluklara doğru harfi koy,letter,0,"Hayfannar, doğal yaşamın vazgeçilmez pir parjasıdır ve korunmalıdır.","Hayvanlar, doğal yaşamın vazgeçilmez bir parçasıdır ve korunmalıdır.",letter,ortaokul,95,1.752,2
13,1,2025-07-17 17:37:34.418,Perşembe,yön takibi,direction,0,Uyuyan hayvan (D) ve kristal kaya (C) üzerinden giden yol (7 adım),Kale (E) üzerinden giden yol (8 adım),direction,ilkokul,2,20.722,1
14,1,2025-07-16 23:27:01.324,Çarşamba,ilk harfi yakalama,letter,0,Seyrek,Korsan,letter,ortaokul,16,26.017,2
15,1,2025-07-15 23:39:06.639,Salı,boşluklara doğru harfi koy,letter,0,d,b,letter,ilkokul,1,3.886,2
16,1,2025-07-15 06:16:31.084,Salı,yön takibi,direction,0,Sağ → Sol → Düz,Sol → Sol → Düz,direction,ortaokul,15,24.969,2
17,1,2025-07-14 21:23:19.560,Pazartesi,yön takibi,direction,0,Sağ → Düz → Sağ,Sol → Düz → Sağ,direction,ortaokul,16,36.678,4
18,1,2025-07-14 23:09:35.638,Pazartesi,anlam seçme,meaning,0,Hikayenin sonunu beğenmediğini,Okurken hiç sıkılmadığını,meaning,ortaokul,95,35.976,4
19,1,2025-07-14 06:35:52.925,Pazartesi,boşluğu doldur,word,0,duygusal,eleştirel,word,ortaokul,95,1.49,3
20,1,2025-07-13 03:43:55.659,Pazar,kelime seslerinde uyum,word,0,Köpek,Balık,word,ilkokul,2,15.855,4
21,1,2025-07-13 04:49:19.793,Pazar,boşluğu doldur,word,0,kitap,yemek,word,ilkokul,1,6.997,2
22,1,2025-07-12 06:45:19.917,Cumartesi,anlam bağdaştırma,meaning,0,Ördek,Ornitorenk,meaning,ilkokul,2,39.666,2
23,1,2025-07-11 19:16:27.429,Cuma,kelime seslerinde uyum,word,0,durun,Ağaçdan,word,ortaokul,16,23.633,4
24,1,2025-07-10 20:54:11.022,Perşembe,hecelere ayırma,spelling,0,o-per-as-yon,o-pe-ras-yon,spelling,ortaokul,95,37.954,3
25,1,2025-07-10 02:47:22.627,Perşembe,hecelere ayırma,spelling,0,sa-ntral,san-tral,spelling,ortaokul,97,17.545,1
26,1,2025-07-10 00:15:29.705,Perşembe,yön takibi,direction,0,İki yol da aynı uzunluktadır.,Kale (E) üzerinden giden yol (8 adım),direction,ilkokul,2,14.77,4
27,1,2025-07-09 17:04:06.396,Çarşamba,boşluklara doğru harfi koy,letter,0,p,b,letter,ilkokul,1,18.074,2
28,1,2025-07-08 14:58:47.994,Salı,anlam seçme,meaning,0,Ilık,Soğuk,meaning,ilkokul,2,20.516,1
29,1,2025-07-08 03:04:58.448,Salı,karmaşık harflerden kelime oluştur,letter,0,AIR,ARI,letter,ilkokul,1,38.539,4
30,1,2025-07-07 20:27:45.020,Pazartesi,yön takibi,direction,0,Sol → Aşağı → Sağ,Sol → Düz → Sağ,direction,ortaokul,16,7.439,3
31,1,2025-07-07 06:24:51.076,Pazartesi,harf karıştırma,letter,0,Grupça – Herkez,Grupça – Herkes,letter,ortaokul,96,24.824,4
32,1,2025-07-06 01:36:13.471,Pazar,boşluklara doğru harfi koy,letter,0,d,b,letter,ilkokul,1,1.754,2
33,1,2025-07-05 13:43:50.161,Cumartesi,karmaşık harflerden kelime oluştur,letter,0,IRA,ARI,letter,ilkokul,1,22.403,3
34,1,2025-07-04 19:04:04.107,Cuma,boşluğu doldur,word,0,duygusal,eleştirel,word,ortaokul,95,5.777,2
35,1,2025-07-04 20:11:26.525,Cuma,anlam bağdaştırma,meaning,0,Kunduz,Ornitorenk,meaning,ilkokul,2,36.046,3
36,1,2025-07-03 23:28:52.728,Perşembe,anlam seçme,meaning,0,Neşeli,Kırgın,meaning,ilkokul,1,14.884,2
